Value,Disaggregation combinations using this value,Number of indicators
Carbon dioxide emissions from fuel combustion,1,1
Carbon dioxide emissions per unit of GDP,1,1
Carbon dioxide emissions per unit of manufacturing value added,1,1
Direct agriculture loss attributed to disasters (current United States dollars),1,1
Direct economic loss attributed to disasters (current United States dollars),1,1
Direct economic loss attributed to disasters relative to GDP (%),1,1
Direct economic loss in the housing sector attributed to disasters (current United States dollars),1,1
Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),1,1
Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),1,1
Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),1,1
"Freight volume, by mode of transport (tonne kilometres)(RAI)",1,1
"Freight volume, by mode of transport (tonne kilometres)(ROA)",1,1
Manufacturing value added per capita,1,1
Number of deaths and missing persons attributed to disasters (number),1,1
"Number of deaths and missing persons attributed to disasters per 100,000 population (number)",1,1
Number of deaths due to disaster (number),1,1
"Number of directly affected persons attributed to disasters per 100,000 population (number)",1,1
Number of injured or ill people attributed to disasters (number),1,1
Number of missing persons due to disaster (number),1,1
Number of people affected by disaster (number),1,1
Number of people whose damaged dwellings were attributed to disasters (number),1,1
Number of people whose destroyed dwellings were attributed to disasters (number),1,1
"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",1,1
"Passenger volume (passenger kilometres), by mode of transport (RAI)",1,1
"Passenger volume (passenger kilometres), by mode of transport(ROA)",1,1
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),1,1
The contribution of the industrial sector from the gross domestic product at current prices,1,1
