Year,Sub-indicators,Value
2015,Number of missing persons due to disaster (number),
2016,Number of missing persons due to disaster (number),
2017,Number of missing persons due to disaster (number),
2018,Number of missing persons due to disaster (number),8.0
2015,Number of people affected by disaster (number),69.0
2016,Number of people affected by disaster (number),1712.0
2017,Number of people affected by disaster (number),7636.0
2018,Number of people affected by disaster (number),82.0
2015,Number of deaths due to disaster (number),7.0
2016,Number of deaths due to disaster (number),
2017,Number of deaths due to disaster (number),5.0
2018,Number of deaths due to disaster (number),
2015,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)",0.0
2016,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)",
2017,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)",0.0
2018,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)",0.0
2015,Number of deaths and missing persons attributed to disasters (number),7.0
2016,Number of deaths and missing persons attributed to disasters (number),0.0
2017,Number of deaths and missing persons attributed to disasters (number),5.0
2018,Number of deaths and missing persons attributed to disasters (number),8.0
2015,"Number of directly affected persons attributed to disasters per 100,000 population (number)",1.0
2016,"Number of directly affected persons attributed to disasters per 100,000 population (number)",18.0
2017,"Number of directly affected persons attributed to disasters per 100,000 population (number)",79.0
2018,"Number of directly affected persons attributed to disasters per 100,000 population (number)",1.0
2015,Number of injured or ill people attributed to disasters (number),69.0
2016,Number of injured or ill people attributed to disasters (number),481.0
2017,Number of injured or ill people attributed to disasters (number),6613.0
2018,Number of injured or ill people attributed to disasters (number),82.0
2015,Number of people whose destroyed dwellings were attributed to disasters (number),
2016,Number of people whose destroyed dwellings were attributed to disasters (number),14.0
2017,Number of people whose destroyed dwellings were attributed to disasters (number),145.0
2018,Number of people whose destroyed dwellings were attributed to disasters (number),
2015,Number of people whose damaged dwellings were attributed to disasters (number),
2016,Number of people whose damaged dwellings were attributed to disasters (number),10.0
2017,Number of people whose damaged dwellings were attributed to disasters (number),463.0
2018,Number of people whose damaged dwellings were attributed to disasters (number),
2015,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",
2016,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",1207.0
2017,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",415.0
2018,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",
