Year,Education Sector,المرحلة التعليمية,Value
2017,Public Sector,Pre-primary education,100
2017,Public Sector,Primary education,100
2017,Public Sector,Lower secondary education,100
2017,Public Sector,Secondary education,100
2017,Private Sector,Pre-primary education,70
2017,Private Sector,Primary education,70
2017,Private Sector,Lower secondary education,70
2017,Private Sector,Secondary education,70
2018,Public Sector,Pre-primary education,100
2018,Public Sector,Primary education,100
2018,Public Sector,Lower secondary education,100
2018,Public Sector,Secondary education,100
2018,Private Sector,Pre-primary education,70
2018,Private Sector,Primary education,70
2018,Private Sector,Lower secondary education,70
2018,Private Sector,Secondary education,70
