Year,Sub-indicators,Value
2017,Direct economic loss attributed to disasters (current United States dollars),1418393.0787
2017,Direct economic loss attributed to disasters relative to GDP (%),4e-05
2017,Direct agriculture loss attributed to disasters (current United States dollars),38593.0787
2017,Direct economic loss in the housing sector attributed to disasters (current United States dollars),1377000.0
2017,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),0.0
2017,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),2800.0
2017,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),0.0
2016,Direct economic loss attributed to disasters (current United States dollars),1060537.6704
2016,Direct economic loss attributed to disasters relative to GDP (%),3e-05
2016,Direct agriculture loss attributed to disasters (current United States dollars),971812.6704
2016,Direct economic loss in the housing sector attributed to disasters (current United States dollars),88725.0
2016,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),0.0
2016,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),0.0
2016,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),0.0
2011,Direct economic loss attributed to disasters (current United States dollars),125777090.8416
2011,Direct economic loss attributed to disasters relative to GDP (%),0.00436
2011,Direct agriculture loss attributed to disasters (current United States dollars),125777090.8416
2011,Direct economic loss in the housing sector attributed to disasters (current United States dollars),0.0
2011,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),0.0
2011,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),0.0
2011,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),0.0
2010,Direct economic loss attributed to disasters (current United States dollars),13200338.8954
2010,Direct economic loss attributed to disasters relative to GDP (%),0.0005
2010,Direct agriculture loss attributed to disasters (current United States dollars),13087514.363
2010,Direct economic loss in the housing sector attributed to disasters (current United States dollars),112725.0
2010,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),99.5324
2010,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),0.0
2010,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),0.0
2009,Direct economic loss attributed to disasters (current United States dollars),2608507.1252
2009,Direct economic loss attributed to disasters relative to GDP (%),0.00011
2009,Direct agriculture loss attributed to disasters (current United States dollars),79312.1252
2009,Direct economic loss in the housing sector attributed to disasters (current United States dollars),80925.0
2009,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),2448270.0
2009,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),0.0
2009,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),0.0
