Year,Types of violence,Age,Value
2007,Emotional violence,15-49,14.0
2007,Emotional violence,15-24,11.1
2007,Emotional violence,25-34,14.3
2007,Emotional violence,35-49,14.6
2012,Emotional violence,15-49,17.4
2012,Emotional violence,15-24,15.1
2012,Emotional violence,25-34,18.7
2012,Emotional violence,35-49,17.1
2017-18,Emotional violence,15-49,16.1
2017-18,Emotional violence,15-24,16.0
2017-18,Emotional violence,25-34,14.6
2017-18,Emotional violence,35-49,17.2
2007,Physical violence,15-49,12.2
2007,Physical violence,15-24,13.2
2007,Physical violence,25-34,14.0
2007,Physical violence,35-49,10.4
2012,Physical violence,15-49,11.2
2012,Physical violence,15-24,11.9
2012,Physical violence,25-34,13.6
2012,Physical violence,35-49,9.3
2017-18,Physical violence,15-49,12.7
2017-18,Physical violence,15-24,11.5
2017-18,Physical violence,25-34,13.4
2017-18,Physical violence,35-49,12.5
2007,Sexual violence,15-49,5.6
2007,Sexual violence,15-24,6.2
2007,Sexual violence,25-34,6.9
2007,Sexual violence,35-49,4.3
2012,Sexual violence,15-49,6.0
2012,Sexual violence,15-24,5.8
2012,Sexual violence,25-34,6.3
2012,Sexual violence,35-49,5.8
2017-18,Sexual violence,15-49,3.3
2017-18,Sexual violence,15-24,2.4
2017-18,Sexual violence,25-34,3.0
2017-18,Sexual violence,35-49,3.8
2007,Physical or sexual or emotional violence,15-49,20.2
2007,Physical or sexual or emotional violence,15-24,18.3
2007,Physical or sexual or emotional violence,25-34,21.5
2007,Physical or sexual or emotional violence,35-49,19.7
2012,Physical or sexual or emotional violence,15-49,22.0
2012,Physical or sexual or emotional violence,15-24,20.1
2012,Physical or sexual or emotional violence,25-34,24.4
2012,Physical or sexual or emotional violence,35-49,20.8
2017-18,Physical or sexual or emotional violence,15-49,20.4
2017-18,Physical or sexual or emotional violence,15-24,18.4
2017-18,Physical or sexual or emotional violence,25-34,19.8
2017-18,Physical or sexual or emotional violence,35-49,21.3
